"Country or Area","Year","Value"
"Belgium","1990","10065.005042199"
"Bulgaria","2019","5650.04259765486"
"Bulgaria","2018","4942.35789168252"
"Bulgaria","2017","5031.55612936833"
"Bulgaria","2016","5048.01858463989"
"Bulgaria","2015","4724.84763524583"
"Bulgaria","2014","4611.75474701231"
"Bulgaria","2013","4158.20020604227"
"Bulgaria","2012","3772.00897545588"
"Bulgaria","2011","3697.87141806001"
"Bulgaria","2010","4052.95595287755"
"Bulgaria","2009","3576.01589880962"
"Bulgaria","2008","3968.14152565974"
"Bulgaria","2007","3726.10612427175"
"Bulgaria","2006","3705.91536350431"
"Bulgaria","2005","4189.50491062795"
"Bulgaria","2004","4342.56853945092"
"Bulgaria","2003","3760.98552217306"
"Bulgaria","2002","3931.84935927071"
"Bulgaria","2001","4010.82108548744"
"Bulgaria","2000","3919.22895681068"
"Bulgaria","1999","3838.09493561569"
"Bulgaria","1998","3679.02119703681"
"Bulgaria","1997","4498.86483056155"
"Bulgaria","1996","4720.56016550082"
"Bulgaria","1995","4833.87819545088"
"Bulgaria","1994","4963.5499738819"
"Bulgaria","1993","5058.2688623231"
"Bulgaria","1992","5586.86750000199"
"Bulgaria","1991","6679.06743760758"
"Bulgaria","1990","8652.69224361133"
"Canada","2019","36602.2926081292"
"Canada","2018","36852.8305063747"
"Canada","2017","35569.0264535338"
"Canada","2016","36164.237525296"
"Canada","2015","35306.3911470139"
"Canada","2014","34605.2084775052"
"Canada","2013","35975.9165099111"
"Canada","2012","33987.4533791212"
"Canada","2011","32736.6884239318"
"Canada","2010","32554.9809805889"
"Canada","2009","33382.6191942961"
"Canada","2008","36732.8159593245"
"Canada","2007","35428.270412547"
"Canada","2006","34661.1658884198"
"Canada","2005","36940.0146285549"
"Canada","2004","37988.9876077357"
"Canada","2003","35851.9407305475"
"Canada","2002","34285.0581020142"
"Canada","2001","34500.8645278156"
"Canada","2000","35527.2600911361"
"Canada","1999","35999.9538125712"
"Canada","1998","38174.0166336167"
"Canada","1997","42045.589369571"
"Canada","1996","43284.4324153927"
"Canada","1995","41146.8133203492"
"Canada","1994","40592.9548974479"
"Canada","1993","37661.296838114"
"Canada","1992","37672.1232948636"
"Canada","1991","37045.6022846754"
"Canada","1990","38504.3859043935"
"Croatia","2019","1711.0771673784"
"Croatia","2018","1671.75661087768"
"Croatia","2017","1714.60188467134"
"Croatia","2016","1579.41959453382"
"Croatia","2015","1818.07174752977"
"Croatia","2014","1622.66638413737"
"Croatia","2013","1691.65264943387"
"Croatia","2012","2288.77120600187"
"Croatia","2011","2498.73404842286"
"Croatia","2010","2432.68974999501"
"Croatia","2009","2189.02914945214"
"Croatia","2008","2826.97485423105"
"Croatia","2007","2522.82956159328"
"Croatia","2006","2469.68748848471"
"Croatia","2005","2458.92058509614"
"Croatia","2004","2494.14384326854"
"Croatia","2003","2253.96063580028"
"Croatia","2002","2344.61229920949"
"Croatia","2001","2427.77130355719"
"Croatia","2000","2460.04049518237"
"Croatia","1999","2340.73543676447"
"Croatia","1998","2110.75974325164"
"Croatia","1997","2461.97065642767"
"Croatia","1996","2267.63242071372"
"Croatia","1995","2269.30783627233"
"Croatia","1994","2347.07414682264"
"Croatia","1993","2308.28085514676"
"Croatia","1992","2706.18891745214"
"Croatia","1991","2694.86721173828"
"Croatia","1990","2853.3868509722"
"Cyprus","2019","255.367291309248"
"Cyprus","2018","248.503507890171"
"Cyprus","2017","246.421558728848"
"Cyprus","2016","240.854071628171"
"Cyprus","2015","232.51679106867"
"Cyprus","2014","229.034752507527"
"Cyprus","2013","230.152746888326"
"Cyprus","2012","254.490657631176"
"Cyprus","2011","260.624414036905"
"Cyprus","2010","274.454089596591"
"Cyprus","2009","257.723741256827"
"Cyprus","2008","264.494528054518"
"Cyprus","2007","277.74743972065"
"Cyprus","2006","285.389003736252"
"Cyprus","2005","274.181053206581"
"Cyprus","2004","301.420637894311"
"Cyprus","2003","340.086719070247"
"Cyprus","2002","343.558051629888"
"Cyprus","2001","339.956301188298"
"Cyprus","2000","308.003725906836"
"Cyprus","1999","307.831471511321"
"Cyprus","1998","316.987968160908"
"Cyprus","1997","293.763277885724"
"Cyprus","1996","299.931526361863"
"Cyprus","1995","325.959817152652"
"Cyprus","1994","285.482875536622"
"Cyprus","1993","293.023875195431"
"Cyprus","1992","286.91643002846"
"Cyprus","1991","256.184498919302"
"Cyprus","1990","256.467915750885"
"Czechia","2019","5555.12605267196"
"Czechia","2018","5850.48103951247"
"Czechia","2017","6206.83369084122"
"Czechia","2016","6278.51931496037"
"Czechia","2015","6129.83377248746"
"Czechia","2014","5732.91011198838"
"Czechia","2013","5624.2745741723"
"Czechia","2012","5851.17872316005"
"Czechia","2011","5994.65395136007"
"Czechia","2010","5353.91471036609"
"Czechia","2009","5473.97734611184"
"Czechia","2008","6314.83772983478"
"Czechia","2007","6243.7521977461"
"Czechia","2006","6186.98342063979"
"Czechia","2005","6307.49574385697"
"Czechia","2004","6458.57135867933"
"Czechia","2003","5789.59542416926"
"Czechia","2002","6279.54720579963"
"Czechia","2001","6679.47898226418"
"Czechia","2000","6441.90789372958"
"Czechia","1999","6016.47514471829"
"Czechia","1998","6214.28756165604"
"Czechia","1997","6326.72401092112"
"Czechia","1996","6355.98862952247"
"Czechia","1995","6592.94456714363"
"Czechia","1994","6295.14483223655"
"Czechia","1993","6396.08430233374"
"Czechia","1992","7133.26693716075"
"Czechia","1991","7966.07274812595"
"Czechia","1990","9295.81350442314"
"Denmark","2019","5519.94312201775"
"Denmark","2018","5336.14726451156"
"Denmark","2017","5585.9028619557"
"Denmark","2016","5500.45221180911"
"Denmark","2015","5380.76010149375"
"Denmark","2014","5352.43686827199"
"Denmark","2013","5272.45961648159"
"Denmark","2012","5278.77185011731"
"Denmark","2011","5379.74878738866"
"Denmark","2010","5381.71231355446"
"Denmark","2009","5469.55274892569"
"Denmark","2008","5715.25515467121"
"Denmark","2007","5711.84887562597"
"Denmark","2006","5531.73153108598"
"Denmark","2005","5684.80394768301"
"Denmark","2004","6300.47236540428"
"Denmark","2003","6591.25870025792"
"Denmark","2002","6729.6245057748"
"Denmark","2001","6842.32204299068"
"Denmark","2000","7050.53998200136"
"Denmark","1999","7141.92157380846"
"Denmark","1998","7119.16349497721"
"Denmark","1997","7115.78855383672"
"Denmark","1996","7074.32455458724"
"Denmark","1995","7444.47698312564"
"Denmark","1994","7510.12141100191"
"Denmark","1993","7565.90784818164"
"Denmark","1992","7827.29998638124"
"Denmark","1991","8081.72927519641"
"Denmark","1990","8239.00904216365"
"Estonia","2019","976.470530336611"
"Estonia","2018","912.791761564644"
"Estonia","2017","921.023101824561"
"Estonia","2016","888.335068570338"
"Estonia","2015","916.86588646908"
"Estonia","2014","893.76730764323"
"Estonia","2013","860.346150273628"
"Estonia","2012","856.922320748136"
"Estonia","2011","806.946786819834"
"Estonia","2010","793.902176789519"
"Estonia","2009","778.916824144279"
"Estonia","2008","832.460675569851"
"Estonia","2007","775.117580639405"
"Estonia","2006","717.668863710091"
"Estonia","2005","732.65764964677"
"Estonia","2004","730.320483225879"
"Estonia","2003","697.775158702182"
"Estonia","2002","655.985487787411"
"Estonia","2001","682.271027419284"
"Estonia","2000","679.278985768878"
"Estonia","1999","661.592028904189"
"Estonia","1998","751.355400227304"
"Estonia","1997","728.96824606094"
"Estonia","1996","722.058260440702"
"Estonia","1995","760.745888092445"
"Estonia","1994","836.329049520041"
"Estonia","1993","927.633888308256"
"Estonia","1992","1184.24966883361"
"Estonia","1991","1427.56187226213"
"Estonia","1990","1468.64498216458"
"European Union","2019","236253.009074615"
"European Union","2018","238354.03934356"
"European Union","2017","242403.46671262"
"European Union","2016","237999.235766212"
"European Union","2015","238684.214636145"
"European Union","2014","238842.437618501"
"European Union","2013","235576.118826311"
"European Union","2012","235222.23563807"
"European Union","2011","236753.764198328"
"European Union","2010","242102.836642557"
"European Union","2009","252207.644577736"
"European Union","2008","266695.734789763"
"European Union","2007","278404.342548806"
"European Union","2006","276652.81360296"
"European Union","2005","287986.735763809"
"European Union","2004","294485.235941543"
"European Union","2003","290105.938044618"
"European Union","2002","293074.162935684"
"European Union","2001","304877.336728652"
"European Union","2000","307003.30634292"
"European Union","1999","309616.658097568"
"European Union","1998","330328.753905581"
"European Union","1997","352236.158628193"
"European Union","1996","355521.52666273"
"European Union","1995","349365.834818146"
"European Union","1994","348187.426787689"
"European Union","1993","344890.492947745"
"European Union","1992","355209.624800122"
"European Union","1991","370248.418455453"
"European Union","1990","388665.39249551"
"Finland","2019","4830.6882018761"
"Finland","2018","4695.16541489133"
"Finland","2017","4734.63750517935"
"Finland","2016","4746.32628253346"
"Finland","2015","4754.90262755073"
"Finland","2014","4718.83078381927"
"Finland","2013","4663.32063574421"
"Finland","2012","4642.5701707927"
"Finland","2011","4652.02036097931"
"Finland","2010","4784.28168968863"
"Finland","2009","5190.64105727392"
"Finland","2008","6078.7246721655"
"Finland","2007","5920.93691918459"
"Finland","2006","5850.44037465995"
"Finland","2005","6036.27722392701"
"Finland","2004","5954.09362670284"
"Finland","2003","5863.70059079138"
"Finland","2002","5735.99062695699"
"Finland","2001","5699.77682309487"
"Finland","2000","5809.3970912749"
"Finland","1999","5731.8475417023"
"Finland","1998","5792.472616894"
"Finland","1997","5971.16189672787"
"Finland","1996","5950.52368775785"
"Finland","1995","5903.0672872647"
"Finland","1994","5877.96249784881"
"Finland","1993","5767.84783118912"
"Finland","1992","5601.55676414462"
"Finland","1991","6031.38191230462"
"Finland","1990","6361.37108548083"
"France","2019","38792.9903364973"
"France","2018","39219.7639798092"
"France","2017","40874.5628054135"
"France","2016","39487.1865196923"
"France","2015","40609.3287058943"
"France","2014","40748.4348248741"
"France","2013","39823.3873587196"
"France","2012","39878.4382732907"
"France","2011","39609.9484143651"
"France","2010","41177.100569132"
"France","2009","43339.7717813595"
"France","2008","44897.3077625283"
"France","2007","45644.2553669293"
"France","2006","45603.1809650178"
"France","2005","47018.662699264"
"France","2004","47937.0292923592"
"France","2003","49613.3626658318"
"France","2002","51416.6925944648"
"France","2001","54185.6569846502"
"France","2000","54480.6381695885"
"France","1999","55567.2831974884"
"France","1998","61460.8010888551"
"France","1997","68134.6343575226"
"France","1996","68226.6990607007"
"France","1995","66727.8057291561"
"France","1994","65190.4355234061"
"France","1993","65079.9172907922"
"France","1992","65827.1872371012"
"France","1991","66138.7739265221"
"France","1990","65570.3490956885"
"Germany","2019","35121.9059749541"
"Germany","2018","35807.816248283"
"Germany","2017","37607.4731535879"
"Germany","2016","38237.88047027"
"Germany","2015","38431.7744014209"
"Germany","2014","38598.5365421963"
"Germany","2013","37738.3804742115"
"Germany","2012","37502.0256737996"
"Germany","2011","37116.9467041209"
"Germany","2010","37001.9217802737"
"Germany","2009","45072.2935097644"
"Germany","2008","44568.1167885083"
"Germany","2007","45816.7438800837"
"Germany","2006","42793.3476470363"
"Germany","2005","43759.8463894523"
"Germany","2004","45392.0431117373"
"Germany","2003","43463.1697781449"
"Germany","2002","43813.0806885331"
"Germany","2001","44839.514928494"
"Germany","2000","42727.4707175374"
"Germany","1999","43281.6901286264"
"Germany","1998","47022.1000478135"
"Germany","1997","59762.493190243"
"Germany","1996","62638.3529893502"
"Germany","1995","61047.8957367183"
"Germany","1994","62798.3537554082"
"Germany","1993","61071.9095786027"
"Germany","1992","64191.7537350815"
"Germany","1991","62702.7226046549"
"Germany","1990","64897.2026610735"
"Greece","2019","4289.67648385765"
"Greece","2018","4264.15093149591"
"Greece","2017","4344.69598412862"
"Greece","2016","4284.09004249963"
"Greece","2015","4228.34442553762"
"Greece","2014","4289.61508259369"
"Greece","2013","4496.20206724545"
"Greece","2012","4795.79810588478"
"Greece","2011","5223.62218069764"
"Greece","2010","5467.36195099579"
"Greece","2009","5270.36266850975"
"Greece","2008","5631.64505182749"
"Greece","2007","5870.92940534802"
"Greece","2006","5766.82459457557"
"Greece","2005","5934.70829332739"
"Greece","2004","6106.01038492706"
"Greece","2003","6101.41146042146"
"Greece","2002","6172.10568375105"
"Greece","2001","6213.83384508977"
"Greece","2000","6347.98041940827"
"Greece","1999","6571.24777614971"
"Greece","1998","6614.61775978877"
"Greece","1997","6692.04057330162"
"Greece","1996","6852.31786470571"
"Greece","1995","6680.62137906225"
"Greece","1994","6475.90739053311"
"Greece","1993","6592.00529970819"
"Greece","1992","7148.80256699944"
"Greece","1991","7307.88348869406"
"Greece","1990","7445.65716350325"
"Hungary","2019","4877.63626337488"
"Hungary","2018","4871.64827424623"
"Hungary","2017","4801.99589912079"
"Hungary","2016","4800.67726766641"
"Hungary","2015","4532.95614171297"
"Hungary","2014","4430.67848261412"
"Hungary","2013","4198.88932227407"
"Hungary","2012","3860.04961249198"
"Hungary","2011","3922.54644146087"
"Hungary","2010","3730.43041418617"
"Hungary","2009","3804.25294162146"
"Hungary","2008","4099.1799628653"
"Hungary","2007","4801.19966820633"
"Hungary","2006","5349.0440398827"
"Hungary","2005","5622.18781327733"
"Hungary","2004","5889.90853623553"
"Hungary","2003","5100.17400696471"
"Hungary","2002","5176.85522834068"
"Hungary","2001","5861.60454338742"
"Hungary","2000","5411.40456868985"
"Hungary","1999","5072.29758813975"
"Hungary","1998","5243.36900747825"
"Hungary","1997","5335.50050060411"
"Hungary","1996","5338.73539391914"
